,,
Plan de cuentas 2020,Detalle,"Plan de cuentas
2016 - 2017"
1111,Aporte propio en efectivo ,110
1112,Aporte propio en especies o servicios ,113
114,Aportes menores sin publicidad,125
115,Aportes con publicidad,135
116,Aportes en dinero de partidos políticos,141
121,Aportes en especies o servicios de terceros,142 - 144 - 145 - 146 - 147 - 171 - 173 - 181 - 182 - 183 - 184
122,Aportes en especies o servicios de partidos políticos,148
131,Financiamiento a partidos políticos,150
132,Financiamiento a candidatos independientes,150
141,Créditos con mandato,111 - 112
142,Cesión de derecho a reembolso,170
143,Reembolso de gastos electorales,160
211,Propaganda en medios de prensa escrito y digital,211
212,Propaganda en radioemisoras,212
213,Propaganda en redes sociales,213
214,Propaganda impresa y merchandising,210
221,Encuestas,220
231,Arriendo de inmuebles ,233
232,Arriendo de vehículos,232
233,Otros arriendos de bienes muebles o inmuebles (sede),231 - 234
241,Servicios profesionales,241
242,Servicios remunerados de brigadistas,242
243,"Servicios básicos (luz, agua, teléfono, etc.)",280
244,Intereses devengados por Mandatos con Instituciones Financieras,260
251,"Gastos por desplazamiento (combustible, peajes, transporte privado)",250 - 251 - 252
252,Transporte aéreo ,252
253,"Transporte público terrestre (taxi, Uber, etc.)",250
254,Transporte de implementos de propaganda,252
261,Gastos menores y frecuentes,280
271,Trabajo de voluntarios,290
272,Uso de inmuebles propios,299
273,Uso de vehículos propios,299
274,Otros aportes de bienes propios,299
275,Uso de vehículos de terceros,291
276,Uso de inmuebles de terceros,292 - 298
277,Otros aportes de bienes y servicios de terceros ,294 - 295 - 296 
278,Aporte de medios digitales y redes sociales,297
279,Aportes de servicios profesionales,293
281,Aportes en especies o servicios del Partido Político,275
291,Aportes en especies o servicios a candidaturas,
292,Aporte en dineros a candidaturas,
402,Devolución aportantes,410 - 413
403,Devolución de aportes a partido político,412
