NOMBRE DEL CANDIDATO,NOMBRE PARTIDO, MONTO 
ABELARDO AGUSTIN HERNANDEZ HERNANDEZ,PARTIDO HUMANISTA," 680,000 "
ABELARDO AGUSTIN HERNANDEZ HERNANDEZ,PARTIDO HUMANISTA," 100,000 "
ABIGAIL ALEJANDRA CARCAMO MARTINEZ,PARTIDO DE LA GENTE," 110,000 "
ABIGAIL ALEJANDRA CARCAMO MARTINEZ,PARTIDO DE LA GENTE," 600,000 "
ABIGAIL ALEJANDRA CARCAMO MARTINEZ,PARTIDO DE LA GENTE," 16,812 "
ABIGAIL ALEJANDRA CARCAMO MARTINEZ,PARTIDO DE LA GENTE," 1,000 "
ABIGAIL ALEJANDRA CARCAMO MARTINEZ,PARTIDO DE LA GENTE," 117,500 "
ABIGAIL FERNANDA JOFRE GONZALEZ,PARTIDO HUMANISTA," 582,000 "
ABRAHAM ANTONIO VEGA POBLETE,CIUDADANOS," 50,000 "
ABRAHAM ANTONIO VEGA POBLETE,CIUDADANOS," 100,000 "
ABRAHAM ANTONIO VEGA POBLETE,CIUDADANOS," 50,000 "
ABRAHAM ANTONIO VEGA POBLETE,CIUDADANOS," 1,000,000 "
ABRAHAM ANTONIO VEGA POBLETE,CIUDADANOS," 50,000 "
ABRAHAM ANTONIO VEGA POBLETE,CIUDADANOS," 100,000 "
ABRAHAM ANTONIO VEGA POBLETE,CIUDADANOS," 1,355,654 "
ABRAHAM ANTONIO VEGA POBLETE,CIUDADANOS," 442,644 "
ABRAHAM ANTONIO VEGA POBLETE,CIUDADANOS," 50,000 "
ABRAHAM ANTONIO VEGA POBLETE,CIUDADANOS," 50,000 "
ABRAHAM ANTONIO VEGA POBLETE,CIUDADANOS," 50,000 "
ABRAHAM DIAZ MAMANI,PARTIDO DEMOCRATA CRISTIANO," 800,000 "
ABRAHAM DIAZ MAMANI,PARTIDO DEMOCRATA CRISTIANO," 50,000 "
ABRAHAM DIAZ MAMANI,PARTIDO DEMOCRATA CRISTIANO," 500,000 "
ABRAHAM DIAZ MAMANI,PARTIDO DEMOCRATA CRISTIANO," 500,000 "
ABRAHAM DIAZ MAMANI,PARTIDO DEMOCRATA CRISTIANO," 100,000 "
ABRAHAM DIAZ MAMANI,PARTIDO DEMOCRATA CRISTIANO," 150,000 "
ABRAHAM DIAZ MAMANI,PARTIDO DEMOCRATA CRISTIANO," 433,160 "
ABRAHAM DIAZ MAMANI,PARTIDO DEMOCRATA CRISTIANO," 120,000 "
ABRAHAM DIAZ MAMANI,PARTIDO DEMOCRATA CRISTIANO," 120,000 "
ABRAHAM ELISEO ORTIZ ORELLANA,PARTIDO DE LA GENTE," 5,000 "
ABRAHAM ELISEO ORTIZ ORELLANA,PARTIDO DE LA GENTE," 350,000 "
ABRAHAM ELISEO ORTIZ ORELLANA,PARTIDO DE LA GENTE," 100,000 "
ABRAHAM ELISEO ORTIZ ORELLANA,PARTIDO DE LA GENTE," 10,000 "
ABRAHAM ELISEO ORTIZ ORELLANA,PARTIDO DE LA GENTE," 10,000 "
ABRAHAM ELISEO ORTIZ ORELLANA,PARTIDO DE LA GENTE," 200,000 "
ABRAHAM ELISEO ORTIZ ORELLANA,PARTIDO DE LA GENTE," 170,000 "
ABRAHAM ELISEO ORTIZ ORELLANA,PARTIDO DE LA GENTE," 2,400,000 "
ABRAHAM ELISEO ORTIZ ORELLANA,PARTIDO DE LA GENTE," 273,447 "
ABRAHAM GONZALO LARRONDO VEGA,PARTIDO CONSERVADOR CRISTIANO," 1,000 "
ABRAHAM GONZALO LARRONDO VEGA,PARTIDO CONSERVADOR CRISTIANO," 100,000 "
ABRAHAM GONZALO LARRONDO VEGA,PARTIDO CONSERVADOR CRISTIANO," 2,415,874 "
ABRAHAM GONZALO LARRONDO VEGA,PARTIDO CONSERVADOR CRISTIANO," 3,958,989 "
ABRAHAM GONZALO LARRONDO VEGA,PARTIDO CONSERVADOR CRISTIANO, - 
ABRAHAM GONZALO LARRONDO VEGA,PARTIDO CONSERVADOR CRISTIANO," 1,000 "
ABRAHAM GONZALO LARRONDO VEGA,PARTIDO CONSERVADOR CRISTIANO," 1,130,500 "
ABRAHAM ISAAC CABEZAS NAVARRETE,PARTIDO REGIONALISTA INDEPENDIENTE DEMOCRATA," 196,000 "
ABRAHAM ISAAC CABEZAS NAVARRETE,PARTIDO REGIONALISTA INDEPENDIENTE DEMOCRATA," 1,200,000 "
ACHARYA DEVA DIAZ PAINEN,PARTIDO HUMANISTA," 720,000 "
ADA FRIDERICKSEN JARA,PARTIDO SOCIALISTA DE CHILE," 120,000 "
ADA FRIDERICKSEN JARA,PARTIDO SOCIALISTA DE CHILE," 70,000 "
ADA FRIDERICKSEN JARA,PARTIDO SOCIALISTA DE CHILE," 190,000 "
ADA FRIDERICKSEN JARA,PARTIDO SOCIALISTA DE CHILE," 50,000 "
ADA FRIDERICKSEN JARA,PARTIDO SOCIALISTA DE CHILE," 30,000 "
ADA FRIDERICKSEN JARA,PARTIDO SOCIALISTA DE CHILE," 1,500,000 "
ADA FRIDERICKSEN JARA,PARTIDO SOCIALISTA DE CHILE," 30,000 "
ADA FRIDERICKSEN JARA,PARTIDO SOCIALISTA DE CHILE," 110,000 "
ADA FRIDERICKSEN JARA,PARTIDO SOCIALISTA DE CHILE," 200,000 "
ADA FRIDERICKSEN JARA,PARTIDO SOCIALISTA DE CHILE," 800,000 "
ADA FRIDERICKSEN JARA,PARTIDO SOCIALISTA DE CHILE," 90,000 "
ADA FRIDERICKSEN JARA,PARTIDO SOCIALISTA DE CHILE," 50,000 "
ADA FRIDERICKSEN JARA,PARTIDO SOCIALISTA DE CHILE," 200,000 "
ADA FRIDERICKSEN JARA,PARTIDO SOCIALISTA DE CHILE," 30,000 "
ADA FRIDERICKSEN JARA,PARTIDO SOCIALISTA DE CHILE," 2,967,265 "
