ABELARDO AGUSTIN HERNANDEZ HERNANDEZ,PARTIDO HUMANISTA,780000
ABIGAIL ALEJANDRA CARCAMO MARTINEZ,PARTIDO DE LA GENTE,845312
ABIGAIL FERNANDA JOFRE GONZALEZ,PARTIDO HUMANISTA,582000
ABRAHAM ANTONIO VEGA POBLETE,CIUDADANOS,3298298
ABRAHAM DIAZ MAMANI,PARTIDO DEMOCRATA CRISTIANO,2773160
ABRAHAM ELISEO ORTIZ ORELLANA,PARTIDO DE LA GENTE,3518447
ABRAHAM GONZALO LARRONDO VEGA,PARTIDO CONSERVADOR CRISTIANO,7607363
ABRAHAM ISAAC CABEZAS NAVARRETE,PARTIDO REGIONALISTA INDEPENDIENTE DEMOCRATA,1396000
ACHARYA DEVA DIAZ PAINEN,PARTIDO HUMANISTA,720000
ADA FRIDERICKSEN JARA,PARTIDO SOCIALISTA DE CHILE,8475191
ADEMAR OCTAVIO MUñOZ RIFO,CENTRO UNIDO,565674
ADOLFO ANDRES ESTRADA ALDONEY,PARTIDO DE LA GENTE,2851447
ADRIAN EDUARDO MUñOZ FONSECA,PARTIDO REGIONALISTA INDEPENDIENTE DEMOCRATA,932000
ADRIAN ELIAS MORA MORA,PARTIDO HUMANISTA,921000
ADRIAN MAURICIO MOLINAS ALVAREZ,PARTIDO REGIONALISTA INDEPENDIENTE DEMOCRATA,782000
ADRIANA EUGENIA SANDOVAL ARAYA,PARTIDO DE LA GENTE,328932
ADRIANA MUñOZ DALBORA,PARTIDO POR LA DEMOCRACIA,90731572
ADRIANA SOLANGE DELGADO CAREAGA,PARTIDO DE LA GENTE,1292612
AGAPITO SANTANDER MARIN,PARTIDO SOCIALISTA DE CHILE,3852681
AGUSTIN ANTONIO SILVA SCHULTZ,PARTIDO REPUBLICANO DE CHILE,1195060
AGUSTIN ENRIQUE FUENTES ROMERO,PARTIDO POR LA DEMOCRACIA,4749249
AGUSTIN MATIAS ROMERO LEIVA,PARTIDO REPUBLICANO DE CHILE,20090895
AHIMALEC ABSALON BENITEZ SILVA,PARTIDO DEMOCRATA CRISTIANO,6323514
